中分類ID,中分類,小分類ID,小分類,種別,通し番号 ,優先度,割り当て時間数（h）, DS-BoK KA番号,内容
A,基礎数学と数理統計学,3,数理統計学,知識,DS-009,T1,0,KA01.01,一般的な相関係数（ピアソン）の分母と分子を説明できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,知識,DS-010,T1,1,KA01.01,５つ以上の代表的な確率分布を説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-011,T1,0.5,KA01.01,二項分布の事象もサンプルサイズが増えていくとどのような分布に近似されるかを知っている．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-012a,T1,1,KA01.01,ピアソンの積率相関係数とクラメールの連関係数とスピアマンの順位相関係数の適用場面の違いを知っている．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-013,T1,1,KA01.01,ベイズの定理を説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-028,E,1,KA01.01 KA01.05,点推定と区間推定の違いを説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-029,E,1,KA01.01 KA01.05,帰無仮説と対立仮説の違いを説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-030,E,1,KA01.01 KA01.05,第1種の過誤，第2種の過誤，ｐ値，有意水準の意味を説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-031,E,1,KA01.01 KA01.05,片側検定と両面検定の違いを説明できる．
A,基礎数学と数理統計学,3,数理統計学,知識,DS-032a,E,2,KA01.01 KA01.05,データ間に対応のある場合と無い場合の検定手法の違いを説明できる．
A,基礎数学と数理統計学,3,数理統計学,スキル,IPSJ-09,E,2,KA01.01,平均値の検定と平均値の差の検定(群間の対応あり，なしを含むt検定)を理解している．
A,基礎数学と数理統計学,3,数理統計学,スキル,DS-001b,T1,0.5,KA01.01,順列や組合せを式 nPr，nCr を用いて計算できる．【備考】高校数学Aの範囲（履修していない高校生も存在）
A,基礎数学と数理統計学,3,数理統計学,スキル,DS-004b,T1,0,KA01.01,与えられたデータにおける分散と標準偏差が計算できる．【備考】数理・データサイエンス・AIモデルカリキュラム（リテラシーレベル）によりカバー
A,基礎数学と数理統計学,3,数理統計学,スキル,DS-012b,T1,0.5,KA01.01,変数が量的，質的どちらの場合でも関係の強さを算出できる．
B1,データマイニング,1,近接度の尺度,知識,DS-032b,E,2,KA01.01 KA01.05,推定する対象となるデータの対応の有無を考慮した上で適切な検定手法を選択し，適用できる．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-01,T1,0.5,KA01.03 KA01.04,指標の基本的性質を理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-02,T1,0.5,KA01.03 KA01.04,Lkノルム：特殊事例 – ユークリッド距離，マンハッタン距離を理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-03,T1,0.5,KA01.03 KA01.04,スコアと順位付けの使用，スコアとランキング手法の望ましい性質を理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-04,T1,0.5,KA01.03 KA01.04,比較可能にするためのデータの正規化を理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-05,T2,0.5,KA01.03 KA01.04,テキストに関するメトリクスを理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-06,T2,0.5,KA01.03 KA01.04,データの系列に対する相関係数などのメトリクスを理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-07,T2,0.5,KA01.03 KA01.04,SimRankなどのグラフの中の関係性に基づく類似度のメトリクスを理解している．
B1,データマイニング,1,近接度の尺度,知識,ACM-16-08,T2,0.5,KA01.03 KA01.04,グラフベースのメトリクスを理解している．
B1,データマイニング,1,近接度の尺度,スキル,ACM-16-09,T2,0.5,KA01.03 KA01.04,時系列の類似度を測るメトリクス，例えば動的時間伸縮法を理解している．
B1,データマイニング,1,近接度の尺度,スキル,ACM-16-10,T1,0.5,KA01.03 KA01.04,測定手法の概念や異なる種類のデータ(名義，順序，間隔，比例)に対する関連性についても説明・比較できる．
B1,データマイニング,1,近接度の尺度,スキル,ACM-16-11,T1,0.5,KA01.03 KA01.04,種々のデータの比較のために適切なメトリクスを選べる．
B1,データマイニング,1,近接度の尺度,スキル,DS-023,E,5,KA01.05 KA01.01,ROC曲線，AUC(Area under the curve)，を用いてモデルの精度を評価できる．
B1,データマイニング,1,近接度の尺度,スキル,DS-024,E,5,KA01.05 KA01.01,混同行列（正誤分布のクロス表），Accuracy，Precision，Recall，F値をいった評価尺度を理解し，精度を評価できる．
B1,データマイニング,1,近接度の尺度,スキル,DS-025,E,5,KA01.05 KA01.01,MSE(Mean Squared Error），MAE（Mean Absolute Error）といった評価尺度を理解し，精度を評価できる．
B1,データマイニング,1,近接度の尺度,スキル,DS-026,E,5,KA01.05 KA01.01,ホールドアウト法，交差検証（クロスバリデーション）法の仕組みを理解し，学習データ，パラメータチューニング用の検証データ，テストデータを作成できる．
B1,データマイニング,1,近接度の尺度,スキル,DS-027,E,5,KA01.05 KA01.01,時間の経過とともに構造が変わっていくデータの場合は，学習データを過去のデータとし，テストデータを未来のデータとすることを理解している．
B1,データマイニング,1,近接度の尺度,スキル,DS-036,T1,5,KA01.05,適切な区間データ設定でヒストグラムを作成し，データのバラつき方を説明できる．
B1,データマイニング,1,近接度の尺度,スキル,DS-037,T1,5,KA01.05,適切な軸設定でクロス集計表を作成し，属性間のデータの偏りを把握できる．
B1,データマイニング,1,近接度の尺度,態度,DS-038,T2,5,KA01.05,量的変数の散布図を描き，2変数の関係性を把握できる．
B1,データマイニング,2,データの準備,知識,ACM-16-12,T1,0.5,KA01.03 KA01.04,典型的には多くのアプローチが存在すると分かりながら，注意深く批判的にしかし豊かな想像力のあるアプローチができる．
B1,データマイニング,2,データの準備,知識,ACM-17-01,T1,0.5,KA01.03 KA01.04,データ収集，それが持つ問題解決への関連性，専門知識の重要性を理解し，専門家の意見に対してオープンである．
B1,データマイニング,2,データの準備,知識,ACM-17-02,T1,0.5,KA01.03 KA01.04,データベース，IoT，写真，動画，オンラインの情報源を含むデータ源があること：特定の目的に利用するデータが十分なことを理解している．
B1,データマイニング,2,データの準備,知識,ACM-17-03,T1,0.5,KA01.03 KA01.04,特定の目的に際してのデータ取得と使用における倫理的な考慮，データを紐づける際の個人情報に対する懸念，データに含まれる潜在的なバイアスに対する懸念を理解している．
B1,データマイニング,2,データの準備,知識,ACM-17-04,T1,0.5,KA01.03 KA01.04,データラングリング（前処理・加工）ー データに含まれるエラー・抜け漏れの取り扱い，データクレンジング，データ妥当性の検証，データプロファイリング，データの変換，適切なデータセットの結合：質への考慮を理解している．
B1,データマイニング,2,データの準備,知識,ACM-17-05,T1,0.5,KA01.03 KA01.04,不均衡・不十分・不要な属性などのデータセットの課題を扱う手法，自動または手作業によるアプローチと両者のトレードオフについて理解している．
B1,データマイニング,2,データの準備,スキル,ACM-17-06,T1,0.5,KA01.03 KA01.04,特徴量の概念，特徴抽出，特徴表現，特徴選択，特徴生成を理解している．
B1,データマイニング,2,データの準備,スキル,ACM-17-07,T1,0.5,KA01.03 KA01.04,問いの組み立て過程と問いに答えるためのデータ取得過程の繋がりについて説明できる．
B1,データマイニング,2,データの準備,スキル,ACM-17-08,T1,0.5,KA01.03 KA01.04,専門家と適切にやり取りする必要のある特定の領域を理解する能力を示すことができる．
B1,データマイニング,2,データの準備,スキル,ACM-17-09,T1,0.5,KA01.03 KA01.04,探索的データ解析や推論を成すにあたって，要約統計量やデータの可視化を使用できる．
B1,データマイニング,2,データの準備,スキル,ACM-17-10,T1,0.5,KA01.03 KA01.04,データセットにおいて起こりうる課題を記述し，それらがもたらす影響とどう解決しうるかを示すことができる．
B1,データマイニング,2,データの準備,スキル,ACM-17-11,T1,0.5,KA01.03 KA01.04,特徴量生成の種々の手法を同定でき，それぞれの利点と含意を説明できる．
B1,データマイニング,2,データの準備,態度,ACM-17-12,T1,0.5,KA01.03 KA01.04,特徴量選択と特徴量生成の類似点と相違点を記述することができ，特徴量生成がどのように特徴量を生み出すのかを示すことができる．
B1,データマイニング,3,情報抽出,知識,ACM-17-13,T1,0.5,KA01.03 KA01.04,データ選択と準備において，適切な信頼度を設定でき，また，質の高いデータを扱うことの重要性を理解している．
B1,データマイニング,3,情報抽出,知識,ACM-18-01,E,1.75,KA01.03 KA01.04,情報抽出が役に立つ応用先を理解している．
B1,データマイニング,3,情報抽出,知識,ACM-18-02,E,1.75,KA01.03 KA01.04,エンティティと関係抽出を理解している．
B1,データマイニング,3,情報抽出,知識,ACM-18-03,E,1.75,KA01.03 KA01.04,ルールベース情報抽出手法とその応用先を理解している．
B1,データマイニング,3,情報抽出,知識,ACM-18-04,E,1.75,KA01.03 KA01.04,統計ベース情報抽出手法とその応用先を理解している．
B1,データマイニング,3,情報抽出,スキル,ACM-18-05,E,1.75,KA01.03 KA01.04,抽出されたデータにおいて起こりうる問題を理解している．
B1,データマイニング,3,情報抽出,スキル,ACM-18-06,E,1.75,KA01.03 KA01.04,応用先の要件とデータに応じて，スキーマを設計できる．
B1,データマイニング,3,情報抽出,スキル,ACM-18-07,E,1.75,KA01.03 KA01.04,応用先に応じた情報抽出ルールが書ける．
B1,データマイニング,3,情報抽出,態度,ACM-18-08,E,1.75,KA01.03 KA01.04,情報抽出タスクのためにルールやモデル学習や関係予測などの学習アルゴリズムを適用できる．
B1,データマイニング,4,クラスタ分析,知識,ACM-18-09,E,1.75,KA01.03 KA01.04,データからの情報抽出において種々の手法があることを理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-01,T1,0.5,KA01.03 KA01.04,クラスタリングのための適切な類似度指標を同定できる．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-02,T1,0.5,KA01.03 KA01.04,クラスタリングの質の評価を理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-03,T1,0.5,KA01.03 KA01.04,k-平均法について反復することの必要性を考慮しながら理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-04,T1,0.5,KA01.03 KA01.04,Density-basedアルゴリズムを理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-05,T1,0.5,KA01.03 KA01.04,クラスタリングの応用先を理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-06,T2,0.5,KA01.03 KA01.04,Mean shiftクラスタリングを理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-07,T2,0.5,KA01.03 KA01.04,凝集型クラスタリングを理解している．
B1,データマイニング,4,クラスタ分析,知識,ACM-19-08,T2,0.5,KA01.03 KA01.04,Grid-basedアルゴリズムを理解している．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-09,T2,0.5,KA01.03 KA01.04,クラスタリングアルゴリズムの高速化と並列化の戦略を理解している．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-10,T1,0.5,KA01.03 KA01.04,クラスタリングのための特徴選択の重要性を説明できる．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-11,T1,0.5,KA01.03 KA01.04,k-平均アルゴリズムの初期化規準選択の指針を提供できる．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-12,T2,0.5,KA01.03 KA01.04,相対的な利点と欠点を強調しながら，クラスタリング手法を比較できる．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-13,T2,0.5,KA01.03 KA01.04,種々のクラスタリング法が使われるべき状況や，代替手法がより望ましい状況を示すことができる．
B1,データマイニング,4,クラスタ分析,スキル,ACM-19-14,T2,0.5,KA01.03 KA01.04,複数のアルゴリズムをデータのテストセットに適用して結果を比較できる．
B1,データマイニング,4,クラスタ分析,態度,ACM-19-15,T2,0.5,KA01.03 KA01.04,クラスタリングの効能と価値を強調する説明が提示できる．
B1,データマイニング,4,クラスタ分析,態度,ACM-19-16,T1,0.5,KA01.03 KA01.04,データサイエンスにおけるクラスタリングの役割について，見識に基づく肯定的な視点を創造することができる．
B1,データマイニング,5,分類・回帰,知識,ACM-19-17,T1,0.5,KA01.03 KA01.04,現実的なシナリオで用いられる大規模化可能で効率的なクラスタリングアルゴリズムの重要性を理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-01,T1,0.5,KA01.03 KA01.04,分類のための特徴量選択に関して考慮すべき事柄を理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-02,T1,0.5,KA01.03 KA01.04,KNNなどのインスタンスベース手法を理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-03,T1,0.5,KA01.03 KA01.04,決定木モデルを理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-04,T1,0.5,KA01.03 KA01.04,確率モデル，ナイーブベイズを理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-05,T2,0.5,KA01.03 KA01.04,ルールベース手法を理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-06,T2,0.5,KA01.03 KA01.04,サポートベクターマシンを理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-07,T2,0.5,KA01.03 KA01.04,ニューラルネットワークを理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-08,T2,0.5,KA01.03 KA01.04,分類と回帰の実社会適用を理解している．
B1,データマイニング,5,分類・回帰,知識,ACM-20-09,T2,0.5,KA01.03 KA01.04,"深層学習とそれに関連するソフトウェア（Caffe, TensorFlow, PyTorch）を理解している．"
B1,データマイニング,5,分類・回帰,スキル,ACM-20-10,E,1.75,KA01.03 KA01.04,高速化と並列化戦略を理解している．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-11,T1,0.5,KA01.03 KA01.04,分類と回帰のための特徴量選択の重要性を説明できる．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-12,T1,0.5,KA01.03 KA01.04,どちらの手法を使うべきか選択に資しうる，予測精度・学習済みモデルの理解可能性などの基準を記述することができる．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-13,T2,0.5,KA01.03 KA01.04,回帰と分類の関連について同定できる．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-14,T2,0.5,KA01.03 KA01.04,分類モデルまたは回帰モデルの利用から利益が得られるかもしれない重要な局面を認識できる．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-15,T2,0.5,KA01.03 KA01.04,各手法を扱えるソフトウェアを特定でき，実際に扱える．
B1,データマイニング,5,分類・回帰,スキル,ACM-20-16,T2,0.5,KA01.03 KA01.04,分類手法を選び，それを選んだ理由を正当化でき，そして程々に複雑な事例に対しても適用する能力を示せる．
B1,データマイニング,5,分類・回帰,スキル,DS-021,E,5,KA01.05 KA01.01,単回帰分析について最小二乗法，回帰計数，標準誤差の説明ができる．
B1,データマイニング,5,分類・回帰,態度,DS-022,E,5,KA01.05 KA01.01,重回帰分析において偏回帰係数と標準偏回帰係数，重相関関係について説明できる．
B1,データマイニング,5,分類・回帰,態度,ACM-20-17,T1,0.5,KA01.03 KA01.04,現実的なシナリオで用いられる大規模化可能で効率的な分類・回帰アルゴリズムの重要性を理解している．
B1,データマイニング,6,パターンマイニング,知識,ACM-20-18,T2,0.5,KA01.03 KA01.04,分類と回帰，より一般に統計や機械学習とのつながりについて説明できる．
B1,データマイニング,6,パターンマイニング,知識,ACM-21-01,T2,0.5,KA01.03 KA01.04,相関パターンマイニングの概念を理解している．
B1,データマイニング,6,パターンマイニング,知識,ACM-21-02,T2,0.5,KA01.03 KA01.04,計算量に関して考慮すべき事項を理解している．
B1,データマイニング,6,パターンマイニング,知識,ACM-21-03,T2,0.5,KA01.03 KA01.04,相関規則マイニング，Aprioriアルゴリズム，頻出パターンマイニングアルゴリズムを理解している．
B1,データマイニング,6,パターンマイニング,知識,ACM-21-04,T2,0.5,KA01.03 KA01.04,系列パターンマイニング，GSPアルゴリズムを理解している．
B1,データマイニング,6,パターンマイニング,知識,ACM-21-05,T2,0.5,KA01.03 KA01.04,効率的で並行実行できるパターンマイニングアルゴリズムを理解している．
B1,データマイニング,6,パターンマイニング,スキル,ACM-21-06,T2,0.5,KA01.03 KA01.04,応用先を理解している．
B1,データマイニング,6,パターンマイニング,スキル,ACM-21-07,T2,0.5,KA01.03 KA01.04,有益な効果を生むために通常の状況下でAprioriアルゴリズムが使われうる様々な領域を列挙することができる．
B1,データマイニング,6,パターンマイニング,スキル,ACM-21-08,T2,0.5,KA01.03 KA01.04,Aprioriアルゴリズムの実装を同定でき，それを意味のある適用先に適用できる．
B1,データマイニング,6,パターンマイニング,スキル,ACM-21-09,T2,0.5,KA01.03 KA01.04,パターンマイニングアルゴリズムの有用性を比較対照できる．
B1,データマイニング,6,パターンマイニング,スキル,DS-033,E,1,KA01.02,教師あり学習の分類（判別）モデルと教師なし学習のグループ化（クラスタリング）の違いを説明できる．
B1,データマイニング,6,パターンマイニング,スキル,DS-034,E,1,KA01.02,階層クラスター分析と非階層クラスター分析の違いを説明できる．
B1,データマイニング,6,パターンマイニング,スキル,DS-035,E,2,KA01.02,階層クラスター分析において，デンドログラムの見方を理解し，適切に解釈できる．
B1,データマイニング,6,パターンマイニング,態度,DS-077,E,0.5,KA01.03,条件Xと事象Yの関係性をリフト値を用いて評価できる．
B1,データマイニング,7,外れ値検出,知識,ACM-21-10,T2,0.5,KA01.03 KA01.04,パターンマイニングがとても広いトピックであり，多くの適用先があることを認識している．
B1,データマイニング,7,外れ値検出,知識,ACM-22-01,T2,0.5,KA01.03 KA01.04,外れ値という概念の定義を理解している．
B1,データマイニング,7,外れ値検出,知識,ACM-22-02,T2,0.5,KA01.03 KA01.04,一般的手法 - データからモデルを構築した上で，あるデータ点はそれにフィットしないことに注意を払うことができる．
B1,データマイニング,7,外れ値検出,知識,ACM-22-03,T2,0.5,KA01.03 KA01.04,Zスコアなど，1次元において数値的な外れ値を特定するパラメトリック手法を理解している．
B1,データマイニング,7,外れ値検出,知識,ACM-22-04,T2,0.5,KA01.03 KA01.04,確率分布関数の用途を理解している．
B1,データマイニング,7,外れ値検出,スキル,ACM-22-05,T2,0.5,KA01.03 KA01.04,深さ優先手法の利用 – 点の集合に対して期待しうる凸包を特定した上で，内側の点または外側の点を; 関連するグラフィカルアプローチ
B1,データマイニング,7,外れ値検出,スキル,ACM-22-06,T2,0.5,KA01.03 KA01.04,幅広い外れ値検出のアルゴリズムを適用できる．
B1,データマイニング,7,外れ値検出,スキル,ACM-22-07,T2,0.5,KA01.03 KA01.04,外れ値検出におけるパラメトリック手法，ノンパラメトリック手法を比較対照できる．
B1,データマイニング,7,外れ値検出,スキル,ACM-22-08,T2,0.5,KA01.03 KA01.04,外れ値検出手法が剽窃検知，金融詐欺，ネットワーク侵入検知や他の適用分野を支援しうる方法を説明できる．
B1,データマイニング,7,外れ値検出,態度,ACM-22-09,T2,0.5,KA01.03 KA01.04,適切な例を使って外れ値検出が大切であることを説明できる．
B1,データマイニング,8,時系列データ,知識,ACM-22-10,T2,0.5,KA01.03 KA01.04,外れ値解析と外れ値検出に関する批判的で幅広い視点を涵養している．
B1,データマイニング,8,時系列データ,知識,ACM-23-01,E,1.75,KA01.03 KA01.04,Time seriesデータの性質について．Sequential temporal dataとの比較も含む．
B1,データマイニング,8,時系列データ,知識,ACM-23-02,E,1.75,KA01.03 KA01.04,データ変換 - 時系列データのノイズ除去，正規化を理解している．
B1,データマイニング,8,時系列データ,知識,ACM-23-03,E,1.75,KA01.03 KA01.04,定常時系列と非定常時系列を理解している．
B1,データマイニング,8,時系列データ,知識,ACM-23-04,E,1.75,KA01.03 KA01.04,時系列データの離散系列データへの変換を理解している．
B1,データマイニング,8,時系列データ,知識,ACM-23-05,E,1.75,KA01.03 KA01.04,時系列データ予測 – 過去の値に基づいて未来の値を予測することを理解している．
B1,データマイニング,8,時系列データ,知識,ACM-23-06,E,1.75,KA01.03 KA01.04,時系列モチーフ – 時系列データにおいて頻繁に現れるパターンを理解している．
B1,データマイニング,8,時系列データ,知識,ACM-23-07,E,1.75,KA01.03 KA01.04,時系列クラスタリングと分類を理解している．
B1,データマイニング,8,時系列データ,スキル,ACM-23-08,E,1.75,KA01.03 KA01.04,時系列データにおける外れ値検出 - 点および形状としての外れ値を理解している．
B1,データマイニング,8,時系列データ,スキル,ACM-23-09,E,1.75,KA01.03 KA01.04,意味のある時系列データが存在する状況を複数提供でき，そのデータをマイニングすることの重要性を示せる．
B1,データマイニング,8,時系列データ,スキル,ACM-23-10,E,1.75,KA01.03 KA01.04,時系列データを系列データに変換することが望ましいのがどういう時なのか，例を使って示せる．
B1,データマイニング,8,時系列データ,スキル,ACM-23-11,E,1.75,KA01.03 KA01.04,時系列データのクラスタリングと分類で使われるテクニックについて説明できる．
B1,データマイニング,8,時系列データ,態度,DS-066,T2,5,KA01.05,時系列データとは何か，その基礎的な扱いについて説明できる．（時系列グラフ，周期性，移動平均など）
B1,データマイニング,9,Webデータマイニング,知識,ACM-23-12,E,1.75,KA01.03 KA01.04,いくつかの重要な適用先において，時系列データのデータマイニングが非常に重要であることが分かっている．
B1,データマイニング,9,Webデータマイニング,知識,ACM-24-01,T2,0.5,KA01.03 KA01.04,ウェブスクレイピングとウェブスパイダリングの過程，ウェブアクセスと関連づけられたウェブクローリングを理解している．
B1,データマイニング,9,Webデータマイニング,知識,ACM-24-02,T2,0.5,KA01.03 KA01.04,ウェブデータへのアクセスに関連する倫理指針を理解している．
B1,データマイニング,9,Webデータマイニング,知識,ACM-24-03,T2,0.5,KA01.03 KA01.04,ウェブデータにアクセスするためのソフトウェアライブラリの構造と機能性を理解している．
B1,データマイニング,9,Webデータマイニング,スキル,ACM-24-04,T2,0.5,KA01.03 KA01.04,コミュニティ発見やリンク予測などの，ウェブデータに対する知識発見アプローチを理解している．
B1,データマイニング,9,Webデータマイニング,スキル,ACM-24-05,T2,0.5,KA01.03 KA01.04,ウェブアクセスのための2つの異なるライブラリについて，利用するのに必要な能力や利用の容易さについて比較対照できる．
B1,データマイニング,9,Webデータマイニング,スキル,ACM-24-06,T2,0.5,KA01.03 KA01.04,公的に利用可能なウェブサイトから正確なデータをスクレイプするソフトウェアの利用方法を示せる．
B1,データマイニング,9,Webデータマイニング,スキル,ACM-24-07,T2,0.5,KA01.03 KA01.04,所与の制約に応じて，ウェブからデータを取得するソフトウェアを開発できる．
B1,データマイニング,9,Webデータマイニング,態度,ACM-24-08,T2,0.5,KA01.03 KA01.04,ウェブから知識を発見するための効率的アルゴリズムを開発できる．
B2,人工知能,1,一般,知識,ACM-24-09,T2,0.5,KA01.03 KA01.04,倫理的な枠組みを考慮に入れつつ，質の高いデータへのアクセスを促進・助長することができる．
B2,人工知能,1,一般,知識,ACM-59-01,T1,0.25,KA01.02,AIの歴史を理解している．
B2,人工知能,1,一般,知識,ACM-59-02,T1,0.25,KA01.02,AIの現実(AIとは何か，AIは何ができるか)と認識の隔たりを理解している．
B2,人工知能,1,一般,スキル,ACM-59-03,T1,0.25,KA01.02,AIのサブフィールドを理解している：知識表現，論理・確率推論，プランニング，認識，自然言語処理，学習，ロボティクス(物理・仮想)
B2,人工知能,1,一般,スキル,ACM-59-04,T1,0.25,KA01.02,データサイエンスにおいて必要となったときに，有用な概念や手法を認知するためにAIの主な分枝を説明することができる．
B2,人工知能,1,一般,スキル,ACM-59-05,T2,0.5,KA01.02,AIとは何か，AIはAIが動作するようにデータを収集し利用するとともに，データサイエンティストが利用できるデータを収集し生成する，ということを明確に説明できる．
